rssi,hh,mm,ss,d
-51,14,11,54,0.20
-49,14,11,55,0.20
-52,14,11,56,0.20
-49,14,11,56,0.20
-51,14,11,57,0.20
-50,14,11,59,0.20
-50,14,11,59,0.20
-51,14,12,01,0.20
-51,14,12,01,0.20
-51,14,12,02,0.20
-51,14,12,03,0.20
-49,14,12,04,0.20
-52,14,12,05,0.20
-51,14,12,06,0.20
-51,14,12,07,0.20
-49,14,12,08,0.20
-51,14,12,08,0.20
-51,14,12,09,0.20
-52,14,12,10,0.20
-51,14,12,10,0.20
-51,14,12,11,0.20
-51,14,12,12,0.20
-51,14,12,13,0.20
-51,14,12,14,0.20
-51,14,12,15,0.20
-51,14,12,16,0.20
-52,14,12,17,0.20
-51,14,12,19,0.20
-49,14,12,20,0.20
-50,14,12,20,0.20
-49,14,12,21,0.20
-51,14,12,22,0.20
-49,14,12,23,0.20
-51,14,12,24,0.20
-49,14,12,26,0.20
-52,14,12,27,0.20
-50,14,12,28,0.20
-52,14,12,29,0.20
-49,14,12,30,0.20
-53,14,12,31,0.20
-51,14,12,32,0.20
-51,14,12,33,0.20
-52,14,12,33,0.20
-51,14,12,34,0.20
-49,14,12,35,0.20
-49,14,12,36,0.20
-51,14,12,37,0.20
-49,14,12,38,0.20
-49,14,12,39,0.20
-51,14,12,40,0.20
-51,14,12,41,0.20
-52,14,12,41,0.20
-52,14,12,42,0.20
-49,14,12,43,0.20
-52,14,12,44,0.20
-50,14,12,44,0.20
-52,14,12,45,0.20
-52,14,12,46,0.20
-52,14,12,47,0.20
-49,14,12,48,0.20
-51,14,12,50,0.20
-49,14,12,51,0.20
-51,14,12,51,0.20
-52,14,12,52,0.20
-52,14,12,53,0.20
-53,14,12,54,0.20
-51,14,12,54,0.20
-51,14,12,55,0.20
-51,14,12,56,0.20
-51,14,12,56,0.20
-51,14,12,57,0.20
-49,14,12,59,0.20
-51,14,12,59,0.20
-49,14,13,00,0.20
-53,14,13,01,0.20
-49,14,13,02,0.20
-51,14,13,03,0.20
-49,14,13,04,0.20
-51,14,13,05,0.20
-53,14,13,06,0.20
-51,14,13,07,0.20
-51,14,13,08,0.20
-49,14,13,09,0.20
-51,14,13,09,0.20
-49,14,13,11,0.20
-51,14,13,12,0.20
-49,14,13,12,0.20
-49,14,13,13,0.20
-49,14,13,14,0.20
-51,14,13,15,0.20
-51,14,13,16,0.20
-49,14,13,17,0.20
-51,14,13,17,0.20
-49,14,13,19,0.20
-51,14,13,20,0.20
-51,14,13,21,0.20
-51,14,13,22,0.20
-51,14,13,23,0.20
-52,14,13,23,0.20
-53,14,13,24,0.20
-52,14,13,25,0.20
-48,14,13,26,0.20
-51,14,13,27,0.20
-49,14,13,29,0.20
-49,14,13,30,0.20
-51,14,13,30,0.20
-51,14,13,31,0.20
-51,14,13,32,0.20
-53,14,13,33,0.20
-49,14,13,33,0.20
-49,14,13,36,0.20
-51,14,13,36,0.20
-51,14,13,36,0.20
-51,14,13,37,0.20
-51,14,13,38,0.20
-51,14,13,39,0.20
-49,14,13,39,0.20
-52,14,13,41,0.20
-51,14,13,41,0.20
-49,14,13,42,0.20
-52,14,13,43,0.20
-49,14,13,44,0.20
-49,14,13,45,0.20
-50,14,13,46,0.20
-53,14,13,47,0.20
-52,14,13,48,0.20
-52,14,13,49,0.20
-49,14,13,50,0.20
-49,14,13,52,0.20
-51,14,13,52,0.20
-49,14,13,53,0.20
-50,14,13,55,0.20
-51,14,13,55,0.20
-51,14,13,57,0.20
-51,14,13,57,0.20
-52,14,13,58,0.20
-52,14,13,58,0.20
-50,14,13,59,0.20
-50,14,14,00,0.20
-49,14,14,01,0.20
-49,14,14,02,0.20
-49,14,14,03,0.20
-49,14,14,04,0.20
-51,14,14,05,0.20
-51,14,14,06,0.20
-49,14,14,06,0.20
-51,14,14,08,0.20
-51,14,14,08,0.20
-49,14,14,09,0.20
-51,14,14,10,0.20
-51,14,14,11,0.20
-52,14,14,12,0.20
-51,14,14,13,0.20
-51,14,14,14,0.20
-51,14,14,15,0.20
-49,14,14,16,0.20
-50,14,14,17,0.20
-50,14,14,18,0.20
-52,14,14,19,0.20
-51,14,14,20,0.20
